STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2015,,41.9,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2016,,46.08,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2017,,51.86,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2018,,53.09,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2019,,47.32,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2020,,34.51,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2021,,29.97,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2022,,44.24,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRACAP,CO2 emissions from air transport per capita,T_CO2E_PS,Tonnes of CO2-equivalent per person,_T,Total - all activities,2013,,38.16,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2014,,4,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2015,,4.04,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2016,,4.28,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2017,,4.64,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2018,,4.56,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2019,,3.91,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2020,,2.94,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,CO2_AIRTRAGDP,CO2 emissions from air transport per unit of GDP,KG,Kilogramme,_T,Total - all activities,2021,,2.49,,A,Normal value,,,0,Units,_Z,Not applicable,,,0,"close to real-time, very timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1996,,135.61,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2014,,207.61,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2015,,204.34,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2016,,209.04,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2017,,219.01,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2018,,235.31,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2019,,243.93,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2020,,233.38,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1997,,140.17,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1998,,137.11,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1999,,143.62,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2000,,155.67,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2001,,159.21,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2002,,164.99,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2003,,165.33,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2004,,176.13,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2005,,178.85,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2006,,182.92,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2007,,182.18,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2008,,185.35,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2009,,195.65,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2010,,204.12,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2011,,208.32,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2012,,206.98,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,2013,,199.32,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1990,,98.66,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1991,,103.49,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1992,,107.89,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1993,,118.5,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,NRGS,Total energy supply,TOE,Tonnes of oil equivalent,_T,Total - all activities,1994,,118.65,,A,Normal value,,,6,Millions,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,JPN,Japan,A,Annual,NRGS,Total energy supply,IX,Index,_T,Total - all activities,1997,,98.28,,A,Normal value,,,0,Units,_Z,Not applicable,2000,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,JPN,Japan,A,Annual,NRGS,Total energy supply,IX,Index,_T,Total - all activities,2015,,83.82,,A,Normal value,,,0,Units,_Z,Not applicable,2000,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,JPN,Japan,A,Annual,NRGS,Total energy supply,IX,Index,_T,Total - all activities,2016,,83.07,,A,Normal value,,,0,Units,_Z,Not applicable,2000,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,JPN,Japan,A,Annual,NRGS,Total energy supply,IX,Index,_T,Total - all activities,2017,,83.57,,A,Normal value,,,0,Units,_Z,Not applicable,2000,,1,"1 year lag, timely",2,Two
